Cust_ID,Gender,Device,First_timer,Channel ,Day,Min_spent,Clicks,Annual_inc,Country,Age,Purchased,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
W#53712S,female,PC,1,Affiliate link,THU,5,17,35000,USA,19,0,0,0,0,0
J#61849P,female,Mobile,1,Youtube channel,FRI,13,13,100000,Ireland,44,1,0,0,0,0
P#26691Q,male,PC,1,Website,MON,8,20,10000,Canada,54,1,0,0,0,0
L#44050Q,male,PC,1,Google search,THU,6,22,76000,Ireland,27,1,0,0,0,0
T#60908K,female,PC,0,Website,MON,7,25,58000,Russia,69,0,0,0,0,0
T#16702H,male,Other,1,Referral,WED,10,25,10000,Japan,23,0,0,0,0,0
Y#85737P,male,PC,0,Email ,TUE,15,17,25000,Russia,60,1,0,0,0,0
T#45362S,female,PC,0,Social media ads,FRI,12,22,25000,Japan,25,1,0,0,0,0
D#69176W,female,PC,1,Email ,SAT,13,20,58000,Japan,66,1,0,0,0,0
W#90583H,female,PC,0,Referral,MON,4,26,58000,Japan,47,0,0,0,0,0
Z#45845A,male,Other,0,Other,FRI,12,14,35000,UK,31,1,0,0,0,0
V#56921X,female,PC,1,Email ,MON,3,20,76000,China,21,1,0,0,0,0
U#57030U,male,PC,0,Social media ads,TUE,14,26,35000,Russia,27,0,0,0,0,0
X#25614B,female,Tablet,1,Social media ads,TUE,11,17,35000,Japan,29,0,0,0,0,0
R#82289F,female,PC,1,Email ,TUE,8,15,40000,India,34,0,0,0,0,0
V#38986G,male,PC,0,Email ,THU,12,25,35000,Malaysia,35,1,0,0,0,0
X#32608O,male,Other,1,Email ,THU,7,14,100000,Mexico,39,0,0,0,0,0
N#88213Q,male,PC,0,Youtube channel,FRI,10,15,76000,Ireland,68,0,0,0,0,0
U#79718K,male,Other,1,Youtube channel,THU,15,21,35000,Canada,19,1,0,0,0,0
F#54622L,female,PC,0,Social media ads,MON,11,16,76000,Ireland,45,1,0,0,0,0
N#86207O,male,Other,1,Referral,SAT,2,15,58000,China,35,1,0,0,0,0
V#35952K,male,Tablet,1,Other,SUN,13,21,10000,USA,65,1,0,0,0,0
F#85703W,male,Other,1,Affiliate link,FRI,3,27,10000,Canada,64,1,0,0,0,0
D#32575U,male,PC,1,Email ,TUE,2,19,40000,Russia,44,1,0,0,0,0
L#40401L,male,PC,1,Youtube channel,SAT,10,25,10000,Canada,67,1,0,0,0,0
L#82889W,female,Mobile,0,Social media ads,THU,5,20,40000,China,40,0,0,0,0,0
D#83099J,female,Mobile,0,Email ,SAT,4,26,25000,Japan,64,0,0,0,0,0
F#68636M,male,PC,1,Other,THU,5,18,10000,Malaysia,25,0,0,0,0,0
T#88772B,male,Other,0,Google search,FRI,13,24,100000,Russia,51,0,0,0,0,0
N#86411P,male,Tablet,0,Youtube channel,THU,5,25,100000,Russia,22,0,0,0,0,0
K#59621E,female,Other,0,Social media ads,FRI,15,18,100000,USA,43,1,0,0,0,0
X#42425T,female,Mobile,1,Affiliate link,SUN,6,14,100000,Malaysia,59,1,0,0,0,0
E#90919C,female,Tablet,0,Youtube channel,SAT,11,17,100000,USA,43,1,0,0,0,0
J#46555M,female,Mobile,0,Youtube channel,TUE,14,17,10000,Mexico,38,0,0,0,0,0
V#97472N,female,Mobile,0,Website,FRI,10,20,100000,India,19,1,0,0,0,0
T#38555I,male,Tablet,1,Referral,SUN,6,18,40000,USA,29,0,0,0,0,0
R#26092T,female,Mobile,0,Social media ads,MON,2,15,25000,USA,45,1,0,0,0,0
O#76356G,male,Mobile,1,Referral,TUE,10,22,25000,Russia,57,0,0,0,0,0
K#93453A,male,Mobile,1,Referral,SAT,10,26,100000,Russia,38,0,0,0,0,0
Z#46780L,female,PC,0,Email ,TUE,12,23,100000,UK,42,1,0,0,0,0
Q#68237C,male,Tablet,0,Google search,WED,2,14,100000,Japan,23,1,0,0,0,0
G#91286L,male,Mobile,0,Email ,THU,7,23,100000,Malaysia,26,1,0,0,0,0
E#97379V,male,Other,1,Website,SUN,8,13,100000,USA,20,1,0,0,0,0
E#97457I,female,PC,1,Affiliate link,TUE,13,14,58000,Japan,55,1,0,0,0,0
V#99520U,female,Other,1,Affiliate link,THU,10,18,35000,Canada,22,1,0,0,0,0
V#58317A,female,Mobile,1,Affiliate link,FRI,10,22,10000,Mexico,63,1,0,0,0,0
Q#47544C,male,Other,0,Youtube channel,WED,3,24,100000,China,68,0,0,0,0,0
A#84094M,male,PC,0,Website,WED,3,18,10000,Russia,42,1,0,0,0,0
A#49032T,female,Tablet,0,Affiliate link,WED,9,16,58000,Canada,67,0,0,0,0,0
N#32848L,male,Mobile,0,Social media ads,SUN,4,17,40000,Japan,35,0,0,0,0,0
Y#60504K,female,Mobile,0,Youtube channel,TUE,8,27,25000,Ireland,21,0,0,0,0,0
N#81058I,male,PC,1,Website,FRI,4,22,35000,Ireland,45,1,0,0,0,0
M#89655Y,male,Tablet,0,Website,MON,14,26,76000,Russia,18,0,0,0,0,0
H#84295D,male,Other,0,Website,THU,15,25,76000,India,39,0,0,0,0,0
H#43013A,female,Other,1,Google search,WED,4,13,100000,Canada,45,0,0,0,0,0
Q#74860W,male,PC,0,Email ,SUN,6,22,35000,Malaysia,62,1,0,0,0,0
X#14159S,male,Mobile,0,Youtube channel,MON,14,22,58000,Russia,19,1,0,0,0,0
X#87851D,female,Mobile,1,Youtube channel,MON,9,23,25000,India,59,0,0,0,0,0
V#82942M,male,Mobile,1,Social media ads,SAT,14,17,76000,India,24,1,0,0,0,0
T#20655M,female,Mobile,1,Email ,SAT,3,18,25000,USA,23,1,0,0,0,0
C#83935C,female,Mobile,1,Social media ads,WED,14,21,100000,Russia,24,0,0,0,0,0
B#65863X,male,Mobile,0,Referral,TUE,2,20,40000,Mexico,64,0,0,0,0,0
B#32960G,male,Other,0,Google search,TUE,2,22,76000,USA,35,0,0,0,0,0
U#98430I,female,PC,0,Youtube channel,SAT,7,21,40000,India,58,1,0,0,0,0
K#52130D,male,Tablet,1,Affiliate link,MON,7,17,10000,Japan,52,1,0,0,0,0
I#71092V,female,Other,1,Social media ads,SUN,4,16,10000,Russia,54,0,0,0,0,0
L#36082J,male,Mobile,1,Youtube channel,SAT,3,23,25000,Malaysia,33,0,0,0,0,0
S#48939W,male,Tablet,0,Affiliate link,SAT,13,15,76000,Ireland,28,1,0,0,0,0
X#33010I,female,Other,0,Social media ads,MON,12,20,58000,India,24,1,0,0,0,0
I#27745S,female,PC,1,Affiliate link,SAT,9,26,25000,USA,18,0,0,0,0,0
S#60489S,male,Mobile,0,Email ,TUE,8,14,40000,Canada,55,1,0,0,0,0
S#88652D,male,Mobile,1,Email ,FRI,6,23,76000,USA,30,0,0,0,0,0
K#52059N,male,Other,1,Email ,FRI,5,13,58000,UK,59,0,0,0,0,0
E#87716B,male,PC,1,Other,THU,3,26,100000,Mexico,32,1,0,0,0,0
T#70137T,male,Tablet,1,Referral,SAT,2,17,58000,Mexico,20,0,0,0,0,0
U#50012U,female,Other,0,Youtube channel,FRI,13,27,10000,UK,54,0,0,0,0,0
F#85774G,female,Tablet,0,Other,THU,2,13,58000,Japan,37,1,0,0,0,0
T#68965Q,male,Other,0,Youtube channel,TUE,13,16,100000,India,28,0,0,0,0,0
D#19346F,female,PC,0,Email ,SAT,2,22,35000,Russia,33,1,0,0,0,0
V#19570P,female,Other,1,Other,THU,10,13,35000,India,48,0,0,0,0,0
Y#13117J,female,Mobile,1,Social media ads,TUE,4,18,58000,Ireland,36,0,0,0,0,0
X#19274M,female,PC,1,Referral,TUE,15,15,40000,UK,62,0,0,0,0,0
W#48775O,male,PC,1,Other,THU,8,18,100000,USA,47,0,0,0,0,0
G#53508Y,male,PC,0,Youtube channel,TUE,13,27,58000,Ireland,48,0,0,0,0,0
V#51556W,male,Other,0,Social media ads,SAT,15,22,10000,Mexico,28,0,0,0,0,0
F#92536M,male,Mobile,0,Other,TUE,6,17,25000,India,30,0,0,0,0,0
O#34372F,female,Mobile,1,Google search,FRI,3,24,10000,Mexico,47,1,0,0,0,0
G#17290M,female,PC,0,Social media ads,SUN,11,27,58000,China,31,0,0,0,0,0
U#23239N,male,Other,0,Affiliate link,THU,14,18,10000,Japan,0,0,0,0,0,0
V#96718F,male,Other,0,Affiliate link,THU,15,21,76000,India,0,1,0,0,0,0
B#73644E,male,Tablet,1,Other,WED,8,18,58000,Malaysia,0,1,0,0,0,0
T#56123M,female,Tablet,1,Youtube channel,SUN,13,15,58000,USA,0,1,0,0,0,0
W#17353P,male,Mobile,0,Affiliate link,FRI,6,27,100000,USA,0,1,0,0,0,0
L#20675E,male,Mobile,1,Google search,FRI,8,23,58000,USA,0,0,0,0,0,0
Y#55736B,male,PC,0,Google search,THU,3,25,40000,India,0,1,0,0,0,0
Y#45628R,male,PC,1,Social media ads,THU,10,22,10000,India,0,1,0,0,0,0
X#18617R,male,Mobile,1,Youtube channel,SAT,7,24,25000,India,0,1,0,0,0,0
L#69875D,female,PC,1,Email ,SUN,10,22,35000,Russia,0,0,0,0,0,0
T#92310K,male,PC,1,Social media ads,THU,14,23,100000,UK,0,1,0,0,0,0
T#21889I,female,Other,0,Referral,TUE,7,20,35000,USA,0,1,0,0,0,0
N#63041B,male,Tablet,1,Google search,SAT,14,14,40000,Canada,0,1,0,0,0,0
F#74431A,female,Other,1,Affiliate link,WED,15,22,10000,Japan,0,1,0,0,0,0
L#34805H,female,Mobile,0,Other,MON,11,25,10000,India,0,1,0,0,0,0
G#53869D,female,Mobile,1,Website,THU,11,23,25000,China,0,1,0,0,0,0
T#59696K,male,Tablet,1,Youtube channel,WED,7,19,10000,Japan,0,1,0,0,0,0
V#20135B,female,Other,1,Other,WED,9,19,40000,USA,0,0,0,0,0,0
F#46244P,male,Tablet,0,Affiliate link,THU,13,23,40000,Malaysia,0,0,0,0,0,0
I#99558Y,female,Other,0,Other,SUN,13,18,25000,Russia,0,0,0,0,0,0
Z#72529N,male,Mobile,0,Other,THU,10,15,35000,USA,0,1,0,0,0,0
R#33546H,female,Mobile,0,Social media ads,THU,7,27,10000,Japan,0,1,0,0,0,0
E#35503T,male,PC,1,Email ,WED,2,25,76000,China,0,0,0,0,0,0
O#78039W,male,PC,1,Youtube channel,WED,4,14,40000,Mexico,0,1,0,0,0,0
L#55053A,male,Mobile,0,Referral,WED,13,25,35000,Ireland,0,1,0,0,0,0
Y#36966R,male,PC,1,Social media ads,MON,6,13,25000,Mexico,0,0,0,0,0,0
F#52811R,female,Other,1,Google search,WED,15,23,58000,China,0,1,0,0,0,0
F#92654V,female,Other,0,Google search,THU,12,16,100000,India,0,0,0,0,0,0
M#65870L,female,Tablet,0,Referral,THU,5,14,35000,China,0,0,0,0,0,0
T#18138P,female,Mobile,0,Website,WED,11,21,35000,India,0,0,0,0,0,0
M#56358N,male,Other,1,Youtube channel,FRI,13,18,58000,Malaysia,0,1,0,0,0,0
Z#90364T,male,Other,1,Youtube channel,MON,3,20,10000,India,0,0,0,0,0,0
F#69987F,male,Other,0,Youtube channel,MON,15,22,100000,Canada,0,0,0,0,0,0
E#39810Y,male,Other,1,Social media ads,SAT,4,18,0,Japan,0,0,0,0,0,0
F#92839K,male,Tablet,0,Google search,TUE,3,27,0,UK,0,0,0,0,0,0
R#61860T,male,Tablet,0,Email ,WED,14,27,0,Mexico,0,1,0,0,0,0
X#68840C,male,Mobile,0,Google search,MON,15,27,0,India,0,1,0,0,0,0
S#30891N,male,Other,0,Google search,MON,10,14,0,USA,0,1,0,0,0,0
P#22161T,female,Mobile,1,Other,WED,2,18,0,USA,0,0,0,0,0,0
E#58100R,male,Other,1,Affiliate link,FRI,13,18,0,UK,0,0,0,0,0,0
P#40849L,male,Mobile,0,Social media ads,THU,10,18,0,India,0,1,0,0,0,0
R#39443D,male,Tablet,0,Website,TUE,15,15,0,Malaysia,0,0,0,0,0,0
Y#13840Y,male,Mobile,0,Referral,TUE,8,26,0,India,0,0,0,0,0,0
U#12562H,female,Other,0,Referral,MON,4,18,0,USA,0,0,0,0,0,0
P#57225W,male,Mobile,0,Youtube channel,THU,4,25,0,Malaysia,0,0,0,0,0,0
B#98016X,male,Tablet,0,Social media ads,WED,14,26,0,Mexico,0,0,0,0,0,0
D#90263B,0,Other,0,Referral,FRI,10,22,0,Mexico,0,0,0,0,0,0
T#43328K,0,PC,0,Affiliate link,THU,12,15,0,India,0,1,0,0,0,0
N#94657S,0,Other,0,Affiliate link,SAT,13,23,0,Mexico,0,0,0,0,0,0
J#80845J,0,Mobile,0,Google search,TUE,12,22,0,USA,0,1,0,0,0,0
Q#74016M,0,Tablet,0,Referral,SUN,14,17,0,Japan,0,0,0,0,0,0
K#16390X,0,Mobile,0,Referral,SUN,3,27,0,USA,0,1,0,0,0,0
X#76113X,0,Other,0,Social media ads,TUE,3,22,0,Mexico,0,0,0,0,0,0
D#44826T,0,Tablet,0,Google search,SUN,15,23,0,Mexico,0,1,0,0,0,0
T#47150H,0,PC,0,Other,MON,9,25,0,India,0,1,0,0,0,0
G#97119U,0,Other,0,Website,FRI,4,27,0,Malaysia,0,0,0,0,0,0
I#57083E,0,PC,0,Website,TUE,15,23,0,India,0,1,0,0,0,0
I#74183E,0,Mobile,0,Google search,FRI,7,27,0,Canada,0,1,0,0,0,0
Q#13150Y,0,PC,0,Email ,FRI,15,18,0,Russia,0,1,0,0,0,0
I#99412M,0,PC,0,Other,MON,3,17,0,Ireland,0,1,0,0,0,0
U#52629T,0,Tablet,0,Youtube channel,SAT,13,26,0,Ireland,0,1,0,0,0,0
O#81036J,0,Tablet,0,Google search,TUE,3,22,0,Ireland,0,0,0,0,0,0
A#37919D,0,Other,0,Affiliate link,WED,10,26,0,Malaysia,0,0,0,0,0,0
C#94472Y,0,Tablet,0,Affiliate link,FRI,14,24,0,USA,0,1,0,0,0,0
Z#48125I,0,Tablet,0,Affiliate link,FRI,6,21,0,Malaysia,0,1,0,0,0,0
J#92185E,0,Tablet,0,Website,MON,5,26,0,Mexico,0,1,0,0,0,0
N#82116R,0,Other,0,Referral,MON,4,14,0,Japan,0,0,0,0,0,0
A#57823P,0,Mobile,0,Google search,MON,4,16,0,Japan,0,1,0,0,0,0
M#32704U,0,Tablet,0,Google search,MON,3,23,0,India,0,1,0,0,0,0
Z#70323U,0,PC,0,Other,FRI,5,27,0,China,0,0,0,0,0,0
N#30955J,0,Mobile,0,Other,SUN,2,24,0,Malaysia,0,0,0,0,0,0
Y#11267R,0,Mobile,0,Referral,FRI,5,16,0,Russia,0,1,0,0,0,0
J#20692C,0,Other,0,Google search,TUE,12,21,0,India,0,1,0,0,0,0
C#89040U,0,Mobile,0,Website,FRI,6,26,0,Japan,0,0,0,0,0,0
O#11655H,0,Tablet,0,Social media ads,SUN,12,21,0,Malaysia,0,1,0,0,0,0
F#76678I,0,Tablet,0,Affiliate link,SUN,10,22,0,China,0,1,0,0,0,0
Z#55282D,0,Mobile,0,Website,SUN,4,22,0,Ireland,0,0,0,0,0,0
I#91110K,0,Mobile,0,Affiliate link,THU,7,19,0,Ireland,0,0,0,0,0,0
K#31502I,0,Mobile,0,Google search,TUE,15,15,0,Japan,0,1,0,0,0,0
D#94071F,0,Other,0,Affiliate link,FRI,8,23,0,Malaysia,0,1,0,0,0,0
O#55576B,0,Other,0,Google search,MON,4,26,0,Canada,0,1,0,0,0,0
G#60856L,0,Other,0,Website,SAT,8,23,0,Mexico,0,1,0,0,0,0
H#30597V,0,Tablet,0,Referral,SUN,11,26,0,China,0,1,0,0,0,0
S#23675R,0,Other,0,Other,WED,8,19,0,UK,0,1,0,0,0,0
B#64630A,0,Other,0,Google search,TUE,8,21,0,Ireland,0,0,0,0,0,0
W#27315P,0,Other,0,Affiliate link,MON,14,14,0,UK,0,0,0,0,0,0
P#40464B,0,Tablet,0,Google search,TUE,5,19,0,Malaysia,0,1,0,0,0,0
T#63916Q,0,Tablet,0,Website,TUE,15,25,0,Malaysia,0,0,0,0,0,0
G#10199P,0,PC,0,Website,TUE,10,15,0,Malaysia,0,1,0,0,0,0
H#37208K,0,PC,0,Other,TUE,5,27,0,Russia,0,1,0,0,0,0
W#86822C,0,PC,0,Social media ads,WED,13,15,0,Canada,0,0,0,0,0,0
O#78932F,0,Tablet,0,Google search,TUE,10,20,0,Canada,0,1,0,0,0,0
Q#39836H,0,Tablet,0,Website,SAT,14,25,0,Japan,0,0,0,0,0,0
O#73698T,0,Mobile,0,Email ,THU,14,13,0,Canada,0,1,0,0,0,0
E#60727O,0,PC,0,Affiliate link,TUE,10,27,0,Mexico,0,1,0,0,0,0
K#21502L,0,Tablet,0,Other,SAT,6,25,0,Japan,0,1,0,0,0,0
D#17007N,0,Tablet,0,Youtube channel,SUN,11,21,0,UK,0,0,0,0,0,0
Y#12212N,0,PC,0,Other,SAT,13,15,0,Malaysia,0,1,0,0,0,0
M#27090P,0,Other,0,Referral,TUE,4,17,0,Ireland,0,0,0,0,0,0
I#85949E,0,PC,0,Affiliate link,SUN,9,18,0,Japan,0,1,0,0,0,0
P#37553U,0,Other,0,Referral,THU,11,13,0,Malaysia,0,0,0,0,0,0
B#18594Y,0,PC,0,Other,WED,15,26,0,Ireland,0,0,0,0,0,0
K#55783D,0,Tablet,0,Youtube channel,THU,2,17,0,Japan,0,1,0,0,0,0
M#48029F,0,PC,0,Social media ads,FRI,5,13,0,UK,0,1,0,0,0,0
A#26183T,0,Tablet,0,Social media ads,SAT,7,25,0,Japan,0,1,0,0,0,0
Y#27612B,0,PC,0,Google search,SAT,6,25,0,UK,0,1,0,0,0,0
H#77656W,0,PC,0,Referral,SAT,2,18,0,Ireland,0,0,0,0,0,0
F#68298S,0,Mobile,0,Youtube channel,FRI,2,27,0,UK,0,1,0,0,0,0
Q#97054E,0,Mobile,0,Website,MON,13,13,0,China,0,1,0,0,0,0
Q#93734A,0,PC,0,Affiliate link,SUN,12,25,0,USA,0,0,0,0,0,0
A#66715N,0,Mobile,0,Other,SAT,14,22,0,Malaysia,0,1,0,0,0,0
T#51272R,0,Mobile,0,Youtube channel,WED,3,15,0,Canada,0,1,0,0,0,0
G#44420I,0,Mobile,0,Youtube channel,SAT,6,25,0,Malaysia,0,1,0,0,0,0
R#25271D,0,PC,0,Other,THU,10,17,0,Ireland,0,0,0,0,0,0
C#61372I,0,PC,0,Social media ads,MON,11,21,0,UK,0,1,0,0,0,0
T#58549P,0,PC,0,Website,TUE,9,25,0,Ireland,0,0,0,0,0,Column1
Z#56238F,0,PC,0,Referral,SAT,2,16,0,Mexico,0,1,0,0,0,0
S#58732N,0,Tablet,0,Google search,SAT,11,15,0,UK,0,1,0,0,0,0
J#83551N,0,Tablet,0,Referral,TUE,13,19,0,Canada,0,1,0,0,0,0
C#81765P,0,Mobile,0,Email ,TUE,5,25,0,Malaysia,0,1,0,0,0,0
G#18224M,0,Other,0,Referral,TUE,3,18,0,UK,0,0,0,0,0,0
Z#12362W,0,Mobile,0,Website,SAT,6,26,0,Malaysia,0,1,0,0,0,0
P#85506Q,0,Tablet,0,Email ,SAT,5,20,0,Japan,0,0,0,0,0,0
C#77160Q,0,Tablet,0,Other,WED,14,13,0,USA,0,0,0,0,0,0
S#10320Q,0,Other,0,Affiliate link,MON,15,13,0,China,0,0,0,0,0,0
H#52637O,0,PC,0,Social media ads,SUN,13,22,0,Japan,0,0,0,0,0,0
Q#97631O,0,Mobile,0,Website,WED,9,22,0,USA,0,1,0,0,0,0
E#37133B,0,Other,0,Youtube channel,FRI,12,18,0,Ireland,0,1,0,0,0,0
N#26607O,0,Tablet,0,Google search,SUN,13,27,0,USA,0,1,0,0,0,0
C#57681L,0,Tablet,0,Referral,WED,10,13,0,Canada,0,1,0,0,0,0
U#38466M,0,Mobile,0,Other,FRI,5,16,0,Ireland,0,1,0,0,0,0
N#74812H,0,Mobile,0,Youtube channel,THU,10,21,0,China,0,1,0,0,0,0
E#23338T,0,Other,0,Email ,SUN,15,23,0,Malaysia,45,0,0,0,0,0
J#41987O,0,PC,0,Social media ads,SUN,3,23,0,Russia,66,0,0,0,0,0
Y#11234B,0,Other,0,Affiliate link,SUN,4,20,0,Ireland,27,0,0,0,0,0
J#73896R,0,PC,0,Google search,SAT,5,23,0,Malaysia,70,1,0,0,0,0
U#27117K,0,Tablet,0,Website,MON,14,14,0,Malaysia,22,1,0,0,0,0
Y#70581T,0,Tablet,0,Affiliate link,TUE,14,26,0,Russia,57,0,0,0,0,0
J#41287O,0,PC,0,Social media ads,SUN,6,19,0,India,69,0,0,0,0,0
D#32166C,0,Other,0,Email ,MON,11,17,0,Ireland,50,1,0,0,0,0
D#67369G,0,Tablet,0,Other,SAT,12,13,0,India,38,0,0,0,0,0
I#94448R,0,PC,0,Google search,SUN,7,16,0,Ireland,40,1,0,0,0,0
G#24982A,0,Mobile,0,Social media ads,SAT,2,24,0,Canada,58,1,0,0,0,0
U#76499E,0,Other,0,Youtube channel,FRI,7,14,0,Japan,45,0,0,0,0,0
J#84741V,0,Other,0,Affiliate link,FRI,8,13,0,UK,64,0,0,0,0,0
B#17417B,0,PC,0,Email ,WED,4,17,0,Mexico,22,1,0,0,0,0
L#70368E,0,Other,0,Affiliate link,WED,7,19,0,Canada,57,1,0,0,0,0
P#27412Y,0,Mobile,0,Youtube channel,THU,11,26,0,Malaysia,24,0,0,0,0,0
H#15552T,0,Mobile,0,Website,FRI,14,15,0,India,24,1,0,0,0,0
Y#65298S,0,Mobile,0,Email ,FRI,7,17,0,Malaysia,64,0,0,0,0,0
X#86530U,0,PC,0,Google search,WED,9,14,0,Malaysia,19,0,0,0,0,0
Q#57337N,0,PC,0,Youtube channel,THU,6,22,0,Russia,34,0,0,0,0,0
R#20176A,0,Other,0,Referral,WED,5,24,0,Canada,50,1,0,0,0,0
L#40515X,0,Other,0,Email ,SUN,15,14,0,Japan,19,0,0,0,0,0
L#59059M,0,Other,0,Google search,THU,2,24,0,Mexico,69,0,0,0,0,0
I#90892O,0,Mobile,0,Website,FRI,5,25,0,Russia,30,0,0,0,0,0
F#55213V,0,Other,0,Referral,FRI,7,18,0,India,37,0,0,0,0,0
J#29912I,0,Mobile,0,Referral,FRI,15,26,0,Russia,18,1,0,0,0,0
L#11842I,0,Mobile,0,Email ,FRI,6,27,0,Japan,70,1,0,0,0,0
C#96737F,0,PC,0,Social media ads,THU,15,17,0,Ireland,34,0,0,0,0,0
J#93865X,0,PC,0,Youtube channel,FRI,8,26,0,China,47,0,0,0,0,0
S#44020H,0,PC,0,Affiliate link,TUE,8,13,0,Malaysia,53,0,0,0,0,0
I#66439Q,0,Mobile,0,Social media ads,MON,14,26,0,India,64,0,0,0,0,0
Z#24217K,0,Mobile,0,Social media ads,TUE,11,19,0,Mexico,44,1,0,0,0,0
X#14153U,0,Tablet,0,Google search,WED,12,15,0,China,52,0,0,0,0,0
J#18252P,0,Mobile,0,Social media ads,WED,5,23,0,Mexico,48,0,0,0,0,0
G#24684P,0,Mobile,0,Youtube channel,TUE,5,21,0,USA,18,1,0,0,0,0
X#69387N,0,Other,0,Other,FRI,12,23,0,Mexico,62,1,0,0,0,0
Z#32547U,0,Tablet,0,Youtube channel,SUN,11,18,0,UK,63,1,0,0,0,0
H#65533Q,0,PC,0,Email ,SAT,4,20,0,Mexico,66,0,0,0,0,0
I#94116R,0,PC,0,Referral,SAT,15,20,0,UK,64,0,0,0,0,0
Q#89315A,0,Mobile,0,Email ,FRI,5,24,0,UK,56,1,0,0,0,0
E#54815D,0,Other,0,Website,WED,9,22,0,Mexico,67,1,0,0,0,0
X#13003W,0,Tablet,0,Email ,TUE,15,14,0,Malaysia,38,0,0,0,0,0
C#83777N,0,PC,0,Affiliate link,TUE,5,13,0,UK,64,0,0,0,0,0
I#23124E,0,Mobile,1,Email ,THU,11,19,0,USA,31,0,0,0,0,0
F#23987B,0,PC,1,Affiliate link,FRI,12,16,0,UK,31,1,0,0,0,0
A#89311S,0,PC,1,Youtube channel,MON,12,17,0,Russia,62,1,0,0,0,0
P#90440X,0,PC,1,Social media ads,TUE,14,14,0,UK,63,0,0,0,0,0
M#11310P,0,PC,0,Website,MON,8,27,0,India,23,1,0,0,0,0
Y#50836H,0,Mobile,1,Affiliate link,SUN,7,24,0,Malaysia,37,0,0,0,0,0
J#96147K,0,Other,0,Website,MON,7,19,0,Ireland,21,1,0,0,0,0
A#85182G,0,Tablet,1,Social media ads,SUN,3,26,0,Ireland,63,0,0,0,0,0
L#33750R,0,Tablet,0,Website,SAT,11,25,0,Russia,67,0,0,0,0,0
